code,sampl
"CLUB DE LOS LAGARTOS, 009121 (61)",5.5
"ALMIRANTE COLON, 009218 (1141)",5.333333333333333
"LA SERENA, 005613 (1156)",3.5
"EL MINUTO DE DIOS, 005601 (456)",5.0
"AUTOPISTA MEDELLIN, 005611 (888)",6.333333333333333
"LA GRANJA, 005610 (1157)",8.0
"SANTA MARIA, 005602 (70)",6.0
"LA SOLEDAD NORTE, 005615 (272)",7.0
"FLORENCIA, 005620 (130)",4.6
"LOS ALAMOS, 005625 (382)",5.0
"RICAURTE, 004101 (288)",5.8
"LA PEPITA, 004110 (796)",5.6
"EL PROGRESO, 004111 (68)",3.6666666666666665
"VERAGUAS, 004109 (344)",2.0
"SANTA ISABEL, 004108 (559)",6.0
"SANTA ISABEL SUR, 004107 (974)",0.0
"LA FRAGUITA, 002101 (128)",2.0
"SAN ANTONIO, 002102 (848)",3.8181818181818183
"EDUARDO SANTOS, 004105 (205)",6.333333333333333
"LA ESTANZUELA, 004104 (8)",3.8333333333333335
"PENSILVANIA, 004201 (571)",5.1
"LOS EJIDOS, 004208 (184)",2.8181818181818183
"TIBANA, 004212 (169)",6.0
"RESTREPO, 002103 (975)",7.2
"RESTREPO OCCIDENTAL, 002104 (967)",5.142857142857143
"CIUDAD BERNA, 001202 (53)",4.5
"SEVILLA, 001201 (72)",5.5
"POLICARPA, 001211 (650)",2.8
"CIUDAD JARDIN SUR, 001204 (505)",7.666666666666667
"EL CEDRO, 005629 (1045)",4.6
"ALAMOS, 005643 (788)",5.0
"EL MADRIGAL, 005635 (299)",3.5
"GARCES NAVAS ORIENTAL, 005628 (903)",2.0
"BOCHICA II, 005644 (621)",5.0
"BOLIVIA, 005622 (14)",5.285714285714286
"CIUDADELA COLSUBSIDIO, 005650 (1036)",4.6
"EL CORTIJO, 005634 (783)",3.8
"TIBABUYES, 009257 (1074)",4.25
"LA CAROLINA DE SUBA, 009236 (1088)",4.0
"NUEVA TIBABUYES, 009224 (868)",4.142857142857143
"LECH WALESA, 009227 (743)",8.5
"JARDIN BOTANICO, 005506 (38)",7.0
"PARQUE POPULAR SALITRE, 005115 (1091)",5.076923076923077
"CAMPO EUCARISTICO, 005114 (836)",2.0
"LA ESTRADITA, 005504 (1102)",5.0
"BOSQUE POPULAR, 005505 (131)",5.0
"BELLAVISTA OCCIDENTAL, 005503 (207)",4.909090909090909
"JOSE JOAQUIN VARGAS, 005101 (1128)",4.8
"QUIRIGUA II, 005684 (330)",4.0
"QUIRIGUA ORIENTAL, 005639 (365)",6.5
"LOS CEREZOS, 005616 (1152)",8.0
"PARIS, 005619 (122)",9.0
"PARIS GAITAN, 005612 (380)",0.0
"SANTA HELENITA, 005608 (381)",5.3076923076923075
"FLORIDA BLANCA, 005621 (1160)",4.75
"VILLA LUZ, 005614 (1153)",8.0
"LOS ALAMOS, 005626 (1131)",3.4
"VILLA MARIA, 009209 (259)",4.444444444444445
"AURES II, 009206 (453)",5.75
"COSTA AZUL, 009208 (113)",4.0
"LAGO DE SUBA, 009220 (368)",5.428571428571429
"SAN CAYETANO, 009230 (1086)",6.6
"TTES DE COLOMBIA, 009223 (318)",6.75
"EL RINCON NORTE, 009204 (777)",5.2
"EL RINCON, 009202 (980)",1.0
"ALTOS DE CHOZICA, 009222 (1034)",8.0
"LOS NARANJOS, 009201 (149)",5.8
"RINCON ALTAMAR, 009266 (620)",3.5
"VILLA ALCAZAR, 009263 (1125)",3.6666666666666665
"LA ESTRADA, 005502 (1078)",7.285714285714286
"LA CABANA, 005508 (280)",5.333333333333333
"LAS FLORES, 009210 (386)",6.6
"LA CHUCUA, 009221 (864)",7.0
"VILLA ELISA, 009207 (443)",1.3333333333333333
"VILLA MARIA I, 009267 (286)",7.333333333333333
"PUERTA DEL SOL, 009203 (309)",4.0
"POTRERILLO, 009240 (5)",8.333333333333334
"AURES, 009205 (919)",7.25
"LOMBARDIA, 009228 (30)",4.75
"SABANA DE TIBABUYES, 009232 (157)",7.5
"LA GAITANA, 009216 (279)",5.5
"TOSCANA, 009229 (840)",6.25
"LA GAITANA ORIENTAL, 009262 (750)",4.714285714285714
"BOLIVIA ORIENTAL, 005640 (1126)",7.375
"CIUDAD BACHUE I ETAPA, 005631 (124)",8.0
"QUIRIGUA I, 005683 (436)",6.5
"CIUDAD BACHUE II, 005682 (18)",5.333333333333333
"CIUDAD BACHUE, 005630 (553)",6.5
"LUIS CARLOS GALAN, 005661 (856)",7.5
"SANTA TERESA DE SUBA, 009238 (1111)",4.0
"ORTEZAL, 006208 (119)",6.2
"BATALLON CALDAS, 006207 (584)",7.0
"PUENTE ARANDA, 006215 (160)",4.777777777777778
"CENTRO INDUSTRIAL, 006218 (711)",9.0
"SALAZAR GOMEZ, 006212 (927)",4.5
"GRANJAS DE TECHO, 006306 (161)",5.0
"MONTEVIDEO, 006307 (906)",4.666666666666667
"FRANCO, 006308 (638)",9.0
"TERMINAL DE TRANSPORTES, 006319 (1024)",5.333333333333333
"SALITRE OCCIDENTAL, 006313 (1027)",4.8
"LA ESPERANZA NORTE, 006303 (800)",4.833333333333333
"MODELIA, 006311 (327)",4.333333333333333
"SAN RAFAEL INDUSTRIAL, 004301 (45)",5.066666666666666
"LA TRINIDAD, 004306 (1029)",6.0
"SAN GABRIEL, 004307 (646)",4.0
